Record_ID,Month,SKU_ID,SKU_Description,Product_Group,UoM,Base_Monthly_Demand,Avg_Monthly_Demand_est,Forecast_Method,Forecast_units,Actual_Demand_units,Forecast_Error_units,Absolute_Error_units,APE,Supplier_LeadTime_days,Transit_days,Total_LeadTime_days,Safety_Stock_units,Reorder_Point_units,OnHand_Inventory_units,Planned_Receipts_units,Replenishment_Order_units,Production_Plan_units,MOQ_units,Unit_Cost_USD,Inventory_Value_USD,Days_of_Inventory,Fill_Rate_pct,Stockout_Flag,SLOB_Flag,Produced_InHouse,Shelf_Life_days,Manufacturing_Date,Expiry_Date,Days_to_Expiry,Holding_Cost_pct_annual,Holding_Cost_USD_monthly,Planned_Receipt_Date,Actual_Receipt_Date,PO_OnTime_Flag,Customer_Priority,Revenue_per_unit_USD,Monthly_Revenue_USD,Manufacturing_Line,Production_Capacity_units_per_month,Line_Changeover_time_hrs,Safety_Stock_z90_units,Safety_Stock_z95_units,Safety_Stock_z98_units,OTIF_approx_flag,Capacity_Utilization_pct,Expiry_Value_USD
SKU0002_202411,2024-11-01 00:00:00,SKU0002,Surfactants Grade A,Surfactants,kg,181,163,Exponential Smoothing,202,163,-39,39,"0,2393",51,7,58,15,330,156,41,516,0,516,"23,19","3617,64","28,7",100,0,0,FALSE,365,2024-11-06,2025-11-06,370,"0,1","30,147",2024-11-08 00:00:00,2024-11-11 00:00:00,0,Low,"33,6255","5480,9565",Line_B,,,12,16,19,0,,0
SKU0002_202412,2024-12-01 00:00:00,SKU0002,Surfactants Grade A,Surfactants,kg,181,167,Exponential Smoothing,166,52,-114,114,"2,1923",51,4,55,15,110,0,41,516,0,516,"23,19",0,0,"78,85",1,0,FALSE,365,2024-12-06,2025-12-06,370,"0,1",0,2024-12-08 00:00:00,2024-12-15 00:00:00,0,Low,"33,6255","1748,526",Line_B,,,12,15,19,0,,0
SKU0002_202501,2025-01-01 00:00:00,SKU0002,Surfactants Grade A,Surfactants,kg,181,170,Exponential Smoothing,114,201,87,87,"0,4328",51,6,57,15,397,52,145,516,0,516,"23,19","1205,88","7,8","98,01",1,0,FALSE,365,2025-01-06,2026-01-06,370,"0,1","10,049",2025-01-08 00:00:00,2025-01-15 00:00:00,0,Low,"33,6255","6758,7255",Line_B,,,12,15,19,0,,0
SKU0002_202502,2025-02-01 00:00:00,SKU0002,Surfactants Grade A,Surfactants,kg,181,174,Naive,143,155,12,12,"0,0774",51,12,63,16,342,206,134,516,0,516,"23,19","4777,14","39,9",100,0,0,FALSE,365,2025-02-02,2026-02-02,366,"0,1","39,8095",2025-02-08 00:00:00,2025-02-12 00:00:00,0,Low,"33,6255","5211,9525",Line_B,,,13,16,20,0,,0
SKU0002_202503,2025-03-01 00:00:00,SKU0002,Surfactants Grade A,Surfactants,kg,181,177,ARIMA,139,166,27,27,"0,1627",51,8,59,15,341,219,180,516,0,516,"23,19","5078,61","39,6",100,0,0,FALSE,365,2025-03-08,2026-03-08,372,"0,1","42,32175",2025-03-08 00:00:00,2025-03-09 00:00:00,1,Low,"33,6255","5581,833",Line_B,,,12,16,20,1,,0
SKU0002_202504,2025-04-01 00:00:00,SKU0002,Surfactants Grade A,Surfactants,kg,181,181,Exponential Smoothing,161,167,6,6,"0,0359",51,6,57,15,332,164,199,516,0,516,"23,19","3803,16","29,5",100,0,0,FALSE,365,2025-04-04,2026-04-04,368,"0,1","31,693",2025-04-08 00:00:00,2025-04-08 00:00:00,1,Low,"33,6255","5615,4585",Line_B,,,12,15,19,1,,0
SKU0002_202505,2025-05-01 00:00:00,SKU0002,Surfactants Grade A,Surfactants,kg,181,185,Causal (Promo),146,184,38,38,"0,2065",51,6,57,15,365,115,148,516,0,516,"23,19","2666,85","18,8",100,0,0,FALSE,365,2025-05-02,2026-05-02,366,"0,1","22,22375",2025-05-08 00:00:00,2025-05-12 00:00:00,0,Low,"33,6255","6187,092",Line_B,,,12,15,19,0,,0
SKU0002_202506,2025-06-01 00:00:00,SKU0002,Surfactants Grade A,Surfactants,kg,181,188,Causal (Promo),153,154,1,1,"0,0065",51,9,60,15,323,72,0,516,0,516,"23,19","1669,68",14,"46,75",1,0,FALSE,365,2025-06-10,2026-06-10,374,"0,1","13,914",,,0,Low,"33,6255","5178,327",Line_B,,,12,16,20,0,,0
SKU0002_202507,2025-07-01 00:00:00,SKU0002,Surfactants Grade A,Surfactants,kg,181,192,Causal (Promo),176,167,-9,9,"0,0539",51,7,58,15,338,232,143,516,0,516,"23,19","5380,08","41,7",100,0,0,FALSE,365,2025-07-03,2026-07-03,367,"0,1","44,834",2025-07-08 00:00:00,2025-07-07 00:00:00,1,Low,"33,6255","5615,4585",Line_B,,,12,16,19,1,,0
SKU0002_202508,2025-08-01 00:00:00,SKU0002,Surfactants Grade A,Surfactants,kg,181,195,Collaborative Judgment,160,177,17,17,"0,096",51,5,56,15,345,46,213,516,0,516,"23,19","1066,74","7,8",100,0,0,FALSE,365,2025-08-08,2026-08-08,372,"0,1","8,8895",2025-08-08 00:00:00,2025-08-10 00:00:00,1,Low,"33,6255","5951,7135",Line_B,,,12,15,19,1,,0
SKU0003_202411,2024-11-01 00:00:00,SKU0003,Surfactants Grade C,Surfactants,kg,362,326,Exponential Smoothing,327,508,181,181,"0,3563",46,4,50,28,875,223,0,8372,8372,8372,"10,71","2388,33","13,2","43,9",1,0,TRUE,540,2024-11-03,2026-04-27,542,"0,1","19,90275",,,0,Medium,"15,5295","7888,986",Line_C,10000,3,22,29,36,0,"83,72",0
SKU0003_202412,2024-12-01 00:00:00,SKU0003,Surfactants Grade C,Surfactants,kg,362,333,Causal (Promo),467,318,-149,149,"0,4686",46,2,48,27,536,192,46,8372,8372,8372,"10,71","2056,32","18,1","74,84",1,0,TRUE,540,2024-12-02,2026-05-26,541,"0,1","17,136",2024-12-08 00:00:00,2024-12-06 00:00:00,1,Medium,"15,5295","4938,381",Line_C,10000,3,22,28,35,1,"83,72",0
SKU0003_202501,2025-01-01 00:00:00,SKU0003,Surfactants Grade C,Surfactants,kg,362,340,Collaborative Judgment,347,315,-32,32,"0,1016",46,2,48,27,531,380,207,8372,8372,8372,"10,71","4069,8","36,2",100,0,0,TRUE,540,2025-01-06,2026-06-30,545,"0,1","33,915",2025-01-08 00:00:00,2025-01-12 00:00:00,0,Medium,"15,5295","4891,7925",Line_C,10000,8,22,28,35,0,"83,72",0
SKU0003_202502,2025-02-01 00:00:00,SKU0003,Surfactants Grade C,Surfactants,kg,362,348,Collaborative Judgment,330,419,89,89,"0,2124",46,12,58,30,840,631,227,8372,8372,8372,"10,71","6758,01","45,2",100,0,0,TRUE,540,2025-02-02,2026-07-27,541,"0,1","56,31675",2025-02-08 00:00:00,2025-02-16 00:00:00,0,Medium,"15,5295","6506,8605",Line_C,10000,3,24,31,38,0,"83,72",0
SKU0003_202503,2025-03-01 00:00:00,SKU0003,Surfactants Grade C,Surfactants,kg,362,355,Exponential Smoothing,327,468,141,141,"0,3013",46,10,56,30,904,269,219,8372,8372,8372,"10,71","2880,99","17,2",100,0,0,TRUE,540,2025-03-10,2026-09-01,549,"0,1","24,00825",2025-03-08 00:00:00,2025-03-18 00:00:00,0,Medium,"15,5295","7267,806",Line_C,10000,3,24,30,38,0,"83,72",0
SKU0003_202504,2025-04-01 00:00:00,SKU0003,Surfactants Grade C,Surfactants,kg,362,362,Exponential Smoothing,337,375,38,38,"0,1013",46,5,51,28,666,301,268,8372,8372,8372,"10,71","3223,71","24,1",100,0,0,TRUE,540,2025-04-06,2026-09-28,545,"0,1","26,86425",2025-04-08 00:00:00,2025-04-10 00:00:00,1,Medium,"15,5295","5823,5625",Line_C,10000,7,23,29,36,1,"83,72",0
SKU0003_202505,2025-05-01 00:00:00,SKU0003,Surfactants Grade C,Surfactants,kg,362,369,Exponential Smoothing,455,428,-27,27,"0,0631",46,2,48,27,712,178,205,8372,8372,8372,"10,71","1906,38","12,5","89,49",1,0,TRUE,540,2025-05-05,2026-10-27,544,"0,1","15,8865",2025-05-08 00:00:00,2025-05-06 00:00:00,1,Medium,"15,5295","6646,626",Line_C,10000,1,22,28,35,1,"83,72",0
SKU0003_202506,2025-06-01 00:00:00,SKU0003,Surfactants Grade C,Surfactants,kg,362,376,Exponential Smoothing,454,299,-155,155,"0,5184",46,3,49,28,516,0,336,8372,8372,8372,"10,71",0,0,100,0,0,TRUE,540,2025-06-09,2026-12-01,548,"0,1",0,2025-06-08 00:00:00,2025-06-16 00:00:00,0,Medium,"15,5295","4643,3205",Line_C,10000,7,22,28,35,0,"83,72",0
SKU0003_202507,2025-07-01 00:00:00,SKU0003,Surfactants Grade C,Surfactants,kg,362,384,Exponential Smoothing,352,357,5,5,"0,014",46,10,56,30,696,265,361,8372,8372,8372,"10,71","2838,15","22,3",100,0,0,TRUE,540,2025-07-06,2026-12-28,545,"0,1","23,65125",2025-07-08 00:00:00,2025-07-09 00:00:00,1,Medium,"15,5295","5544,0315",Line_C,10000,7,24,30,38,1,"83,72",0
SKU0003_202508,2025-08-01 00:00:00,SKU0003,Surfactants Grade C,Surfactants,kg,362,391,Exponential Smoothing,341,308,-33,33,"0,1071",46,14,60,31,647,504,175,8372,8372,8372,"10,71","5397,84","49,1",100,0,0,TRUE,540,2025-08-03,2027-01-25,542,"0,1","44,982",2025-08-08 00:00:00,2025-08-05 00:00:00,1,Medium,"15,5295","4783,086",Line_C,10000,8,24,31,39,1,"83,72",0
SKU0004_202411,2024-11-01 00:00:00,SKU0004,Solvents Grade C,Solvents,litre,273,246,Causal (Promo),275,279,4,4,"0,0143",28,11,39,18,381,436,114,0,0,5361,"25,43","11087,48","46,9",100,0,0,FALSE,1095,2024-11-03,2027-11-03,1097,"0,12","110,8748",2024-11-08 00:00:00,2024-11-16 00:00:00,0,Medium,"34,3305","9578,2095",Line_A,,,15,19,24,0,,0
SKU0004_202412,2024-12-01 00:00:00,SKU0004,Solvents Grade C,Solvents,litre,273,251,Exponential Smoothing,285,263,-22,22,"0,0837",28,1,29,16,270,133,301,5361,0,5361,"25,43","3382,19","15,2",100,0,0,FALSE,1095,2024-12-08,2027-12-08,1102,"0,12","33,8219",2024-12-08 00:00:00,2024-12-14 00:00:00,0,Medium,"34,3305","9028,9215",Line_A,,,13,17,21,0,,0
SKU0004_202501,2025-01-01 00:00:00,SKU0004,Solvents Grade C,Solvents,litre,273,257,Collaborative Judgment,277,355,78,78,"0,2197",28,6,34,17,419,586,303,0,0,5361,"25,43","14901,98","49,5",100,0,0,FALSE,1095,2025-01-05,2028-01-05,1099,"0,12","149,0198",2025-01-08 00:00:00,2025-01-10 00:00:00,1,Medium,"34,3305","12187,3275",Line_A,,,14,18,22,1,,0
SKU0004_202502,2025-02-01 00:00:00,SKU0004,Solvents Grade C,Solvents,litre,273,262,Exponential Smoothing,310,291,-19,19,"0,0653",28,6,34,17,347,0,195,5361,0,5361,"25,43",0,0,"67,01",1,0,FALSE,1095,2025-02-04,2028-02-04,1098,"0,12",0,2025-02-08 00:00:00,2025-02-17 00:00:00,0,Medium,"34,3305","9990,1755",Line_A,,,14,18,22,0,,0
SKU0004_202503,2025-03-01 00:00:00,SKU0004,Solvents Grade C,Solvents,litre,273,268,Exponential Smoothing,365,150,-215,215,"1,4333",28,1,29,16,161,254,59,0,0,5361,"25,43","6459,22","50,8",100,0,0,FALSE,1095,2025-03-05,2028-03-04,1099,"0,12","64,5922",2025-03-08 00:00:00,2025-03-16 00:00:00,0,Medium,"34,3305","5149,575",Line_A,,,13,17,21,0,,0
SKU0004_202504,2025-04-01 00:00:00,SKU0004,Solvents Grade C,Solvents,litre,273,273,ARIMA,285,311,26,26,"0,0836",28,6,34,17,369,632,184,0,0,5361,"25,43","16071,76",61,100,0,0,FALSE,1095,2025-04-03,2028-04-02,1097,"0,12","160,7176",2025-04-08 00:00:00,2025-04-13 00:00:00,0,Medium,"34,3305","10676,7855",Line_A,,,14,18,22,0,,0
SKU0004_202505,2025-05-01 00:00:00,SKU0004,Solvents Grade C,Solvents,litre,273,278,Collaborative Judgment,263,215,-48,48,"0,2233",28,5,33,17,254,306,133,0,0,5361,"25,43","7781,58","42,7",100,0,0,FALSE,1095,2025-05-07,2028-05-06,1101,"0,12","77,8158",2025-05-08 00:00:00,2025-05-05 00:00:00,1,Medium,"34,3305","7381,0575",Line_A,,,14,18,22,1,,0
SKU0004_202506,2025-06-01 00:00:00,SKU0004,Solvents Grade C,Solvents,litre,273,284,Exponential Smoothing,223,284,61,61,"0,2148",28,3,31,16,309,132,85,5361,0,5361,"25,43","3356,76","13,9","76,41",1,0,FALSE,1095,2025-06-10,2028-06-09,1104,"0,12","33,5676",2025-06-08 00:00:00,2025-06-15 00:00:00,0,Medium,"34,3305","9749,862",Line_A,,,13,17,21,0,,0
SKU0004_202507,2025-07-01 00:00:00,SKU0004,Solvents Grade C,Solvents,litre,273,289,Exponential Smoothing,246,278,32,32,"0,1151",28,7,35,18,342,551,159,0,0,5361,"25,43","14011,93","59,5",100,0,0,FALSE,1095,2025-07-02,2028-07-01,1096,"0,12","140,1193",2025-07-08 00:00:00,2025-07-15 00:00:00,0,Medium,"34,3305","9543,879",Line_A,,,14,18,23,0,,0
SKU0004_202508,2025-08-01 00:00:00,SKU0004,Solvents Grade C,Solvents,litre,273,295,Exponential Smoothing,281,211,-70,70,"0,3318",28,5,33,17,249,75,188,5361,0,5361,"25,43","1907,25","10,7",100,0,0,FALSE,1095,2025-08-09,2028-08-08,1103,"0,12","19,0725",2025-08-08 00:00:00,2025-08-14 00:00:00,0,Medium,"34,3305","7243,7355",Line_A,,,14,18,22,0,,0
SKU0005_202411,2024-11-01 00:00:00,SKU0005,Intermediates Grade B,Intermediates,litre,378,340,Collaborative Judgment,364,570,206,206,"0,3614",24,5,29,22,573,0,560,2608,0,2608,"15,72",0,0,"98,25",1,0,FALSE,365,2024-11-08,2025-11-08,372,"0,14",0,2024-11-08 00:00:00,2024-11-16 00:00:00,0,Medium,"25,152","14336,64",Line_B,,,18,23,28,0,,0
SKU0005_202412,2024-12-01 00:00:00,SKU0005,Intermediates Grade B,Intermediates,litre,378,348,Exponential Smoothing,745,317,-428,428,"1,3502",24,10,34,24,383,229,120,2608,0,2608,"15,72","3599,88","21,7",100,0,0,FALSE,365,2024-12-04,2025-12-04,368,"0,14","41,9986",2024-12-08 00:00:00,2024-12-16 00:00:00,0,Medium,"25,152","7973,184",Line_B,,,19,25,31,0,,0
SKU0005_202501,2025-01-01 00:00:00,SKU0005,Intermediates Grade B,Intermediates,litre,378,355,Exponential Smoothing,433,315,-118,118,"0,3746",24,4,28,22,316,360,345,0,0,2608,"15,72","5659,2","34,3",100,0,0,FALSE,365,2025-01-07,2026-01-07,371,"0,14","66,024",2025-01-08 00:00:00,2025-01-18 00:00:00,0,Medium,"25,152","7922,88",Line_B,,,18,22,28,0,,0
SKU0005_202502,2025-02-01 00:00:00,SKU0005,Intermediates Grade B,Intermediates,litre,378,363,Exponential Smoothing,370,379,9,9,"0,0237",24,5,29,22,388,352,380,2608,0,2608,"15,72","5533,44","27,9",100,0,0,FALSE,365,2025-02-05,2026-02-05,369,"0,14","64,5568",2025-02-08 00:00:00,2025-02-18 00:00:00,0,Medium,"25,152","9532,608",Line_B,,,18,23,28,0,,0
SKU0005_202503,2025-03-01 00:00:00,SKU0005,Intermediates Grade B,Intermediates,litre,378,370,ARIMA,293,456,163,163,"0,3575",24,14,38,25,603,194,380,2608,0,2608,"15,72","3049,68","12,8",100,0,0,FALSE,365,2025-03-09,2026-03-09,373,"0,14","35,5796",2025-03-08 00:00:00,2025-03-18 00:00:00,0,Medium,"25,152","11469,312",Line_B,,,20,26,32,0,,0
SKU0005_202504,2025-04-01 00:00:00,SKU0005,Intermediates Grade B,Intermediates,litre,378,378,Exponential Smoothing,344,482,138,138,"0,2863",24,6,30,23,505,132,115,2608,0,2608,"15,72","2075,04","8,2","51,24",1,0,FALSE,365,2025-04-03,2026-04-03,367,"0,14","24,2088",2025-04-08 00:00:00,2025-04-07 00:00:00,1,Medium,"25,152","12123,264",Line_B,,,18,23,29,1,,0
SKU0005_202505,2025-05-01 00:00:00,SKU0005,Intermediates Grade B,Intermediates,litre,378,386,Exponential Smoothing,367,368,1,1,"0,0027",24,8,32,23,416,251,232,2608,0,2608,"15,72","3945,72","20,5",100,0,0,FALSE,365,2025-05-09,2026-05-09,373,"0,14","46,0334",2025-05-08 00:00:00,2025-05-16 00:00:00,0,Medium,"25,152","9255,936",Line_B,,,19,24,30,0,,0
SKU0005_202506,2025-06-01 00:00:00,SKU0005,Intermediates Grade B,Intermediates,litre,378,393,Collaborative Judgment,326,213,-113,113,"0,5305",24,9,33,24,258,220,143,2608,0,2608,"15,72","3458,4",31,100,0,0,FALSE,365,2025-06-05,2026-06-05,369,"0,14","40,348",2025-06-08 00:00:00,2025-06-11 00:00:00,0,Medium,"25,152","5357,376",Line_B,,,19,24,30,0,,0
SKU0005_202507,2025-07-01 00:00:00,SKU0005,Intermediates Grade B,Intermediates,litre,378,401,Collaborative Judgment,352,530,178,178,"0,3358",24,8,32,23,588,688,62,0,0,2608,"15,72","10815,36","38,9",100,0,0,FALSE,365,2025-07-06,2026-07-06,370,"0,14","126,1792",2025-07-08 00:00:00,2025-07-08 00:00:00,1,Medium,"25,152","13330,56",Line_B,,,19,24,30,1,,0
SKU0005_202508,2025-08-01 00:00:00,SKU0005,Intermediates Grade B,Intermediates,litre,378,408,Naive,349,593,244,244,"0,4115",24,3,27,21,555,573,0,0,0,2608,"15,72","9007,56",29,"96,63",1,0,FALSE,365,2025-08-02,2026-08-02,366,"0,14","105,0882",,,0,Medium,"25,152","14915,136",Line_B,,,17,22,27,0,,0
SKU0006_202411,2024-11-01 00:00:00,SKU0006,Intermediates Grade B,Intermediates,kg,270,243,Exponential Smoothing,279,367,88,88,"0,2398",20,6,26,15,333,324,350,9217,9217,9217,"12,58","4075,92","26,5",100,0,0,TRUE,730,2024-11-04,2026-11-04,733,"0,14","47,5524",2024-11-08 00:00:00,2024-11-07 00:00:00,1,Medium,"20,128","7386,976",Line_C,10000,3,12,16,19,1,"92,17",0
SKU0006_202412,2024-12-01 00:00:00,SKU0006,Intermediates Grade B,Intermediates,kg,270,248,ARIMA,362,265,-97,97,"0,366",20,5,25,15,236,116,252,9217,9217,9217,"12,58","1459,28","13,1",100,0,0,TRUE,730,2024-12-06,2026-12-06,735,"0,14","17,02493333",2024-12-08 00:00:00,2024-12-09 00:00:00,1,Medium,"20,128","5333,92",Line_C,10000,5,12,15,19,1,"92,17",0
SKU0006_202501,2025-01-01 00:00:00,SKU0006,Intermediates Grade B,Intermediates,kg,270,254,ARIMA,297,391,94,94,"0,2404",20,6,26,15,354,350,332,9217,9217,9217,"12,58",4403,"26,9",100,0,0,TRUE,730,2025-01-03,2027-01-03,732,"0,14","51,36833333",2025-01-08 00:00:00,2025-01-07 00:00:00,1,Medium,"20,128","7870,048",Line_C,10000,5,12,16,19,1,"92,17",0
SKU0006_202502,2025-02-01 00:00:00,SKU0006,Intermediates Grade B,Intermediates,kg,270,259,Collaborative Judgment,354,296,-58,58,"0,1959",20,5,25,15,262,252,191,9217,9217,9217,"12,58","3170,16","25,5",100,0,0,TRUE,730,2025-02-07,2027-02-07,736,"0,14","36,9852",2025-02-08 00:00:00,2025-02-11 00:00:00,0,Medium,"20,128","5957,888",Line_C,10000,2,12,15,19,0,"92,17",0
SKU0006_202503,2025-03-01 00:00:00,SKU0006,Intermediates Grade B,Intermediates,kg,270,265,ARIMA,339,299,-40,40,"0,1338",20,8,28,16,295,324,152,0,0,9217,"12,58","4075,92","32,5",100,0,0,TRUE,730,2025-03-05,2027-03-05,734,"0,14","47,5524",2025-03-08 00:00:00,2025-03-09 00:00:00,1,Medium,"20,128","6018,272",Line_C,10000,4,13,16,20,1,0,0
SKU0006_202504,2025-04-01 00:00:00,SKU0006,Intermediates Grade B,Intermediates,kg,270,270,Collaborative Judgment,356,239,-117,117,"0,4895",20,1,21,14,181,119,319,9217,9217,9217,"12,58","1497,02","14,9",100,0,0,TRUE,730,2025-04-09,2027-04-09,738,"0,14","17,46523333",2025-04-08 00:00:00,2025-04-13 00:00:00,0,Medium,"20,128","4810,592",Line_C,10000,2,11,14,17,0,"92,17",0
SKU0006_202505,2025-05-01 00:00:00,SKU0006,Intermediates Grade B,Intermediates,kg,270,275,Collaborative Judgment,216,243,27,27,"0,1111",20,10,30,16,259,71,42,9217,9217,9217,"12,58","893,18","8,8","46,5",1,0,TRUE,730,2025-05-02,2027-05-02,731,"0,14","10,42043333",2025-05-08 00:00:00,2025-05-11 00:00:00,0,Medium,"20,128","4891,104",Line_C,10000,5,13,17,21,0,"92,17",0
SKU0006_202506,2025-06-01 00:00:00,SKU0006,Intermediates Grade B,Intermediates,kg,270,281,Causal (Promo),278,281,3,3,"0,0107",20,1,21,14,211,0,330,9217,9217,9217,"12,58",0,0,100,0,0,TRUE,730,2025-06-04,2027-06-04,733,"0,14",0,2025-06-08 00:00:00,2025-06-06 00:00:00,1,Medium,"20,128","5655,968",Line_C,10000,6,11,14,17,1,"92,17",0
SKU0006_202507,2025-07-01 00:00:00,SKU0006,Intermediates Grade B,Intermediates,kg,270,286,Exponential Smoothing,283,192,-91,91,"0,474",20,8,28,16,195,105,174,9217,9217,9217,"12,58","1320,9","16,4",100,0,0,TRUE,730,2025-07-08,2027-07-08,737,"0,14","15,4105",2025-07-08 00:00:00,2025-07-08 00:00:00,1,Medium,"20,128","3864,576",Line_C,10000,5,13,16,20,1,"92,17",0
SKU0006_202508,2025-08-01 00:00:00,SKU0006,Intermediates Grade B,Intermediates,kg,270,292,ARIMA,258,387,129,129,"0,3333",20,10,30,16,403,194,320,9217,9217,9217,"12,58","2440,52",15,100,0,0,TRUE,730,2025-08-05,2027-08-05,734,"0,14","28,47273333",2025-08-08 00:00:00,2025-08-13 00:00:00,0,Medium,"20,128","7789,536",Line_C,10000,6,13,17,21,0,"92,17",0
SKU0007_202411,2024-11-01 00:00:00,SKU0007,Surfactants Grade A,Surfactants,kg,300,270,Exponential Smoothing,314,398,84,84,"0,2111",52,5,57,25,781,516,449,3055,0,3055,"18,36","9473,76","38,9",100,0,0,FALSE,730,2024-11-06,2026-11-06,735,"0,1","78,948",2024-11-08 00:00:00,2024-11-16 00:00:00,0,Medium,"26,622","10595,556",Line_A,,,20,25,32,0,,0
